model,metric,proposal_correctness,helpful_count,neutral_count,harmful_count,eligible_count,correctness_flip_count,correctness_flip_rate_pct,helpful_share_among_flips_pct,harmful_share_among_flips_pct
OSS,Single-hypothesis,wrong,756,7108,1430,9294,2186,23.52055089304928,34.58371454711802,65.41628545288198
OSS,Single-hypothesis,correct,1455,21424,622,23501,2077,8.837921790562104,70.05296100144439,29.94703899855561
OSS,In-pool LOO,wrong,1623,21963,2251,25837,3874,14.994000851492046,41.894682498709344,58.105317501290656
OSS,In-pool LOO,correct,2461,62131,1311,65903,3772,5.723563418964235,65.2439024390244,34.75609756097561
Gemma,Single-hypothesis,wrong,780,15455,1415,17650,2195,12.436260623229462,35.535307517084284,64.46469248291572
Gemma,Single-hypothesis,correct,297,11629,74,12000,371,3.091666666666667,80.05390835579514,19.946091644204852
Gemma,In-pool LOO,wrong,1601,45894,1930,49425,3531,7.144157814871017,45.34126309827244,54.65873690172756
Gemma,In-pool LOO,correct,455,33008,132,33595,587,1.747283821997321,77.51277683134583,22.487223168654175
