benchmark,independent_k0_accuracy_pct,full_k5_accuracy_pct,at_least_one_correct_proposal_pct
Omni-MATH-2,74.1927768476441,78.2827074862473,82.73140397034201
JEEBench,84.07766990291262,86.01941747572816,94.36893203883496
SciBench,75.6896551724138,79.3103448275862,86.20689655172413
LAB-Bench,41.56545209176788,39.8110661268556,75.97840755735493
MaScQA,90.75500770416025,91.21725731895224,95.37750385208012
